"2015.07.02 08:37:51","0019973","","自己診断","テスト-00","通常検査"
"2015.07.02 08:38:11","0019974","","自己診断","テスト-00","通常検査"
"2015.07.02 08:39:22","0019975","","自己診断","テスト-00","通常検査"
"2015.07.02 08:39:47","0019976","","自己診断","テスト-00","通常検査"
"2015.07.02 08:41:21","0019977","","自己診断","テスト-00","通常検査"
"2015.07.02 08:42:52","0019978","","自己診断","テスト-00","通常検査"
"2015.07.15 14:44:18","0020168","","自己診断","テスト-00","通常検査"
"2015.07.15 14:44:39","0020169","","自己診断","テスト-00","通常検査"
"2015.07.15 14:47:07","0020170","","自己診断","テスト-00","通常検査"
"2015.07.15 14:47:19","0020171","","自己診断","テスト-00","通常検査"
"2015.07.15 14:47:38","0020172","","自己診断","テスト-00","通常検査"
"2015.07.15 14:49:04","0020173","","自己診断","テスト-00","通常検査"
"2015.07.15 14:49:19","0020174","","自己診断","テスト-00","通常検査"
"2015.07.15 14:50:55","0020175","","自己診断","テスト-00","通常検査"
"2015.07.15 14:50:57","0020176","","自己診断","テスト-00","通常検査"
"2015.07.15 14:52:12","0020177","","自己診断","テスト-00","通常検査"
"2015.09.02 16:03:42","0020860","","自己診断","テスト-00","通常検査"
"2015.09.02 16:06:05","0020861","","自己診断","テスト-00","通常検査"
"2015.09.02 16:06:38","0020862","","自己診断","テスト-00","通常検査"
"2015.09.02 16:06:45","0020863","","自己診断","テスト-00","通常検査"
"2015.09.02 16:06:56","0020864","","自己診断","テスト-00","通常検査"
"2015.09.02 16:07:15","0020865","","自己診断","テスト-00","通常検査"
"2015.09.02 16:10:15","0020866","","自己診断","テスト-00","通常検査"
"2015.09.02 16:11:07","0020867","","自己診断","テスト-00","通常検査"
"2015.09.02 16:11:23","0020868","","自己診断","テスト-00","通常検査"
"2015.09.02 16:11:59","0020869","","自己診断","テスト-00","通常検査"
"2015.09.02 16:12:54","0020870","","自己診断","テスト-00","通常検査"
"2015.09.02 16:12:56","0020871","","自己診断","テスト-00","通常検査"
