"2017.08.31 17:13:41","40000434","","324-0118","00","通常検査"
"2017.09.22 09:04:46","40000683","","324-0118","00","通常検査"
"2017.09.22 09:05:30","40000684","","324-0118","00","通常検査"
"2017.09.22 09:06:10","40000685","","324-0118","00","通常検査"
"2017.10.02 16:32:57","40000824","","324-0118","00","通常検査"
"2017.10.06 15:30:32","40000899","","324-0118","00","通常検査"
"2017.10.06 15:31:25","40000900","","324-0118","00","通常検査"
"2017.10.06 15:32:14","40000901","","324-0118","00","通常検査"
"2017.10.13 08:32:49","40001018","","324-0118","00","通常検査"
"2017.10.13 08:33:32","40001019","","324-0118","00","通常検査"
"2017.10.13 08:34:19","40001020","","324-0118","00","通常検査"
"2017.11.04 11:01:03","40001323","","324-0118","00","通常検査"
"2017.11.04 11:01:49","40001324","","324-0118","00","通常検査"
"2017.11.04 11:02:39","40001325","","324-0118","00","通常検査"
"2017.11.04 11:03:27","40001326","","324-0118","00","通常検査"
"2017.11.04 11:04:11","40001327","","324-0118","00","通常検査"
"2017.11.04 11:04:57","40001328","","324-0118","00","通常検査"
"2017.11.10 15:15:33","40000088","","324-0118","00","通常検査"
"2017.11.10 15:16:17","40000089","","324-0118","00","通常検査"
"2017.11.10 15:17:07","40000090","","324-0118","00","通常検査"
"2017.11.10 15:17:47","40000091","","324-0118","00","通常検査"
"2017.11.10 15:18:27","40000092","","324-0118","00","通常検査"
"2017.11.10 15:19:10","40000093","","324-0118","00","通常検査"
"2017.11.13 08:50:27","40000094","","324-0118","00","通常検査"
"2017.12.05 16:36:23","40000418","","324-0118","00","通常検査"
"2017.12.05 16:37:06","40000419","","324-0118","00","通常検査"
"2017.12.05 16:37:52","40000420","","324-0118","00","通常検査"
"2017.12.09 11:53:28","40000454","","324-0118","00","通常検査"
"2017.12.09 11:54:08","40000455","","324-0118","00","通常検査"
"2017.12.09 11:54:51","40000456","","324-0118","00","通常検査"
"2017.12.15 12:05:40","40000531","","324-0118","00","通常検査"
"2017.12.15 12:06:54","40000532","","324-0118","00","通常検査"
"2017.12.15 12:07:50","40000533","","324-0118","00","通常検査"
"2017.12.15 12:09:12","40000534","","324-0118","00","通常検査"
"2017.12.15 12:10:11","40000535","","324-0118","00","通常検査"
"2017.12.15 12:11:04","40000536","","324-0118","00","通常検査"
"2017.12.15 12:12:14","40000537","","324-0118","00","通常検査"
"2017.12.15 12:13:09","40000538","","324-0118","00","通常検査"
"2017.12.15 12:13:59","40000539","","324-0118","00","通常検査"
